epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1829.27,1.91349,1.7396,1.65602,0.44372,0.35131,0.35601,0.16895,1.92804,1.80055,1.65139,0.000445756,0.000445756,0.000445756
76,1838.78,1.89217,1.72383,1.61177,0.52244,0.3748,0.40326,0.19584,1.88349,1.74204,1.62573,0.000429253,0.000429253,0.000429253
77,1864.31,1.85762,1.7074,1.59821,0.53034,0.35276,0.38686,0.18733,1.88439,1.75456,1.64214,0.000412749,0.000412749,0.000412749
78,1886.72,1.87292,1.7191,1.61157,0.53278,0.3601,0.38778,0.18014,1.92338,1.79444,1.65203,0.000396246,0.000396246,0.000396246
79,1903.97,1.85158,1.70248,1.59129,0.53855,0.37533,0.4048,0.20132,1.85922,1.73788,1.60733,0.000379743,0.000379743,0.000379743
80,1916.06,1.83035,1.68688,1.59749,0.5379,0.38898,0.42921,0.21561,1.81487,1.67107,1.58509,0.000363239,0.000363239,0.000363239
81,1941.03,1.79632,1.65512,1.56578,0.51266,0.40052,0.41986,0.20329,1.83752,1.69941,1.5828,0.000346736,0.000346736,0.000346736
82,1959.34,1.79676,1.66254,1.57747,0.57114,0.40525,0.44407,0.22497,1.79239,1.63172,1.57457,0.000330233,0.000330233,0.000330233
83,1970.66,1.78298,1.64133,1.57209,0.55165,0.414,0.44788,0.22422,1.79737,1.63042,1.56418,0.000313729,0.000313729,0.000313729
84,1988.29,1.79124,1.64134,1.57162,0.56204,0.41902,0.44794,0.22577,1.77571,1.61308,1.56102,0.000297226,0.000297226,0.000297226
85,1999.36,1.80357,1.61238,1.56472,0.5482,0.42362,0.45056,0.22352,1.79699,1.62285,1.56461,0.000280723,0.000280723,0.000280723
86,2023.79,1.79358,1.59923,1.55565,0.55551,0.43255,0.46725,0.23931,1.75518,1.601,1.54468,0.00026422,0.00026422,0.00026422
87,2047.09,1.75514,1.58122,1.54596,0.58622,0.44249,0.49755,0.26286,1.70238,1.54158,1.51489,0.000247716,0.000247716,0.000247716
88,2074.28,1.70899,1.53801,1.5018,0.57849,0.43082,0.49091,0.25669,1.72794,1.53371,1.52422,0.000231213,0.000231213,0.000231213
89,2092.66,1.72143,1.54429,1.52795,0.56641,0.44042,0.48858,0.25612,1.72343,1.54308,1.51378,0.00021471,0.00021471,0.00021471
90,2103.22,1.68793,1.5018,1.502,0.63125,0.45291,0.51327,0.27319,1.67781,1.48653,1.49215,0.000198206,0.000198206,0.000198206
91,2142.08,1.90976,1.82292,1.64247,0.60654,0.42564,0.48318,0.25426,1.70226,1.57278,1.51384,0.000181703,0.000181703,0.000181703
92,2161.74,1.82598,1.70367,1.59143,0.58439,0.42662,0.48446,0.24975,1.72515,1.58674,1.52994,0.0001652,0.0001652,0.0001652
93,2188.31,1.77864,1.6056,1.58408,0.57664,0.44759,0.49138,0.24822,1.74166,1.57475,1.5308,0.000148696,0.000148696,0.000148696
94,2209.32,1.77671,1.58149,1.5694,0.60393,0.44094,0.49933,0.26042,1.7028,1.5163,1.50169,0.000132193,0.000132193,0.000132193
95,2234.78,1.70388,1.53896,1.52305,0.61926,0.46089,0.52184,0.28157,1.65581,1.46024,1.47607,0.00011569,0.00011569,0.00011569
96,2258.59,1.6949,1.53245,1.52016,0.61137,0.47349,0.52713,0.28005,1.67807,1.46662,1.48207,9.91865e-05,9.91865e-05,9.91865e-05
97,2279.79,1.70765,1.50038,1.53135,0.60543,0.47604,0.52892,0.28447,1.66612,1.45739,1.47608,8.26832e-05,8.26832e-05,8.26832e-05
98,2303.34,1.67374,1.46724,1.52477,0.6146,0.48451,0.54042,0.29296,1.63595,1.43618,1.46097,6.61799e-05,6.61799e-05,6.61799e-05
99,2330.71,1.66811,1.47976,1.50876,0.62952,0.49344,0.54937,0.29974,1.61811,1.42184,1.45166,4.96766e-05,4.96766e-05,4.96766e-05
100,2355.7,1.65488,1.45619,1.49947,0.63777,0.49186,0.55554,0.30498,1.61376,1.40433,1.44697,3.31733e-05,3.31733e-05,3.31733e-05
